DC_NOME,SG_ESTADO,CD_SITUACAO,VL_LATITUDE,VL_LONGITUDE,VL_ALTITUDE,DT_INICIO_OPERACAO,CD_ESTACAO
IMPERATRIZ,MA,Pane,-5.55583333,-47.45972222,117.96,2008-02-29,A225
INACIO MARTINS,PR,Pane,-25.56777777,-51.07805554,1208.85,2006-10-15,A823
INDAIAL,SC,Operante,-26.91361111,-49.26805554,72.24,2006-07-01,A817
IPANGUACU,RN,Operante,-5.53499999,-36.87222221,19.0,2017-11-07,A372
IPERO,SP,Operante,-23.4261111,-47.58555555,609.33,2006-08-21,A713
IPIAU,BA,Operante,-14.17138888,-39.69249999,132.11,2009-06-29,A445
IPORA,GO,Operante,-16.42305554,-51.14888888,610.41,2013-06-23,A028
IRECE,BA,Operante,-11.32888888,-41.86444444,768.42,2008-03-30,A424
ITABAIANA,SE,Pane,-10.67166666,-37.47138888,213.0,2017-04-23,A451
ITABAIANINHA,SE,Operante,-11.27249999,-37.79499999,204.8,2007-05-22,A417
ITABERABA,BA,Operante,-12.52416666,-40.29972221,250.11,2003-01-28,A408
ITACOATIARA,AM,Operante,-3.13333333,-58.48277777,41.54,2008-04-16,A121
ITAITUBA,PA,Operante,-4.27694443,-55.99305555,24.46,2008-02-16,A231
ITAJAI,SC,Operante,-26.95083333,-48.76194444,9.76,2010-06-23,A868
ITAMARAJU,BA,Pane,-17.00694444,-39.55805555,110.0,2016-05-27,A455
ITAOBIM,MG,Operante,-16.57555554,-41.48555555,271.63,2007-09-04,A550
ITAPACI,GO,Operante,-14.97972221,-49.53944444,551.0,2007-02-02,A015
ITAPETINGA,BA,Pane,-15.24472221,-40.22944443,271.48,2009-06-24,A446
ITAPEVA,SP,Pane,-23.98194443,-48.88583333,743.33,2006-07-24,A714
ITAPIPOCA,CE,Pane,-3.48416666,-39.5886111,104.49,2008-09-04,A359
ITAPIRA,SP,Operante,-22.415,-46.80527777,634.89,2007-11-04,A739
ITAPOA,SC,Pane,-26.08138888,-48.64166666,6.18,2007-06-05,A851
ITAPORANGA,PB,Pane,-7.31833332,-38.14083333,292.0,2017-11-02,A373
ITAQUIRAI,MS,Operante,-23.44944444,-54.18194443,337.82,2008-05-27,A752
ITAUBAL,AP,Pane,0.56777777,-50.8236111,21.0,2017-08-23,A251
ITIQUIRA,MT,Operante,-17.17499999,-54.50166666,593.12,2008-08-13,A933
ITIRUCU,BA,Operante,-13.52777777,-40.11972221,757.42,2003-02-08,A407
ITUIUTABA,MG,Operante,-18.95277777,-49.52499999,540.08,2006-05-11,A512
ITUMBIARA,GO,Operante,-18.40972222,-49.19194444,491.17,2007-10-31,A035
ITUPORANGA,SC,Operante,-27.41833332,-49.64694444,479.79,2008-03-03,A863
ITUVERAVA,SP,Operante,-20.35972222,-47.77527777,610.58,2008-07-16,A753
IVAI,PR,Operante,-25.01083333,-50.85388888,803.58,2006-07-10,A818
IVINHEMA,MS,Operante,-22.30055555,-53.82277777,377.36,2003-02-07,A709
JACOBINA,BA,Pane,-11.205,-40.465,440.78,2008-04-30,A440
JAGUARAO,RS,Operante,-32.53472221,-53.37583332,31.48,2007-01-08,A836
JAGUARIBE,CE,Pane,-5.90555555,-38.62777777,149.31,2008-09-09,A358
JAGUARUANA,CE,Operante,-4.83777777,-37.69972221,12.0,2007-11-09,A339
JALES,SP,Operante,-20.165,-50.59499999,460.44,2007-08-21,A733
JANUARIA,MG,Operante,-15.44805555,-44.36638888,468.0,2016-06-22,A559
JAPIRA,PR,Operante,-23.77333332,-50.18055554,692.88,2008-02-28,A871
JARDIM,MS,Pane,-21.4786111,-56.13777777,252.47,2011-08-03,A758
JATAI,GO,Operante,-17.9236111,-51.71749999,670.08,2007-05-22,A016
JEREMOABO,BA,Pane,-10.08083332,-38.34583333,261.0,2015-08-12,A450
JOACABA,SC,Pane,-27.16916666,-51.55888888,767.63,2007-09-19,A841
JOAO PESSOA,PB,Operante,-7.16527777,-34.81555555,33.5,2007-07-20,A320
JOAO PINHEIRO,MG,Operante,-17.78444444,-46.11944443,877.05,2007-07-06,A553
JOAQUIM TAVORA,PR,Operante,-23.50527777,-49.94638888,512.67,2006-11-22,A821
JOSE BONIFACIO,SP,Pane,-21.08555555,-49.92027777,408.35,2007-09-02,A735
JUARA,MT,Pane,-11.28027777,-57.52666666,263.43,2006-11-01,A914
JUINA,MT,Operante,-11.37499999,-58.77472221,365.39,2006-11-23,A920
JUIZ DE FORA,MG,Operante,-21.769965,-43.364329,936.88,2007-05-25,A518
JUTI,MS,Operante,-22.85722222,-54.60555555,375.18,2008-06-15,A749
LABREA,AM,Pane,-7.26055555,-64.7886111,61.91,2008-07-26,A111
LAGES,SC,Operante,-27.80222222,-50.33555555,952.7,2014-11-05,A865
LAGOA DA CONFUSAO,TO,Operante,-10.828286,-49.847882,178.0,2016-11-14,A055
LAGOA VERMELHA,RS,Operante,-28.222381,-51.512845,833.83,2007-03-01,A844
LARANJEIRAS DO SUL,PR,Pane,-25.37138888,-52.40083333,889.0,2016-08-06,B804
LENCOIS,BA,Pane,-12.55777777,-41.38888888,438.09,2008-04-04,A425
LINHARES,ES,Operante,-19.35694444,-40.0686111,40.0,2006-10-26,A614
LINS,SP,Pane,-21.66611111,-49.73472221,460.65,2006-09-19,A727
LUIZ EDUARDO MAGALHAES,BA,Operante,-12.1525,-45.82972221,760.68,2002-04-17,A404
LUZIANIA,GO,Operante,-16.26055555,-47.96694443,1000.82,2006-10-20,A012
Laguna  - Farol de Santa Marta,SC,Pane,-28.60444444,-48.81333333,34.36,2008-05-31,A866
MACAE,RJ,Operante,-22.3761111,-41.81194444,28.0,2006-09-21,A608
MACAJUBA,BA,Pane,-12.13166666,-40.35416666,360.0,2003-02-02,A412
MACAPA,AP,Operante,0.03499999,-51.08888888,16.62,2013-12-11,A249
MACAU,RN,Operante,-5.15111111,-36.57305554,17.37,2007-01-05,A317
MACEIO,AL,Operante,-9.55111111,-35.77027777,84.12,2003-02-24,A303
MACHADO,MG,Operante,-21.68083332,-45.94444444,969.0,2017-07-20,A567
MAJOR VIEIRA,SC,Operante,-26.3936111,-50.36333333,799.58,2009-02-08,A864
"MAL, CANDIDO RONDON",PR,Operante,-24.53333333,-54.01916666,392.07,2006-11-17,A820
MANACAPURU,AM,Operante,-3.29472221,-60.62833332,36.57,2008-04-09,A119
MANAUS,AM,Operante,-3.10333333,-60.01638888,61.25,2000-05-08,A101
MANHUACU,MG,Operante,-20.26333333,-42.18277777,819.47,2010-09-24,A556
MANICORE,AM,Operante,-5.7886111,-61.28833333,40.64,2011-12-11,A133
MANTENA,MG,Operante,-18.78062,-40.986505,254.91,2007-07-31,A540
MARABA,PA,Pane,-5.36638888,-49.05111111,116.58,2009-06-24,A240
MARACAJU,MS,Operante,-21.60916666,-55.17749999,388.94,2006-12-14,A731
MARAU,BA,Pane,-13.90694444,-38.97222221,6.24,2008-06-21,A438
MARECHAL THAUMATURGO,AC,Pane,-8.95,-72.78666666,220.98,2009-10-26,A137
